,MSA,Year,Population (persons) 3/,Total employment (number of jobs),Average earnings per job (dollars),Average wages and salaries (dollars),Per capita net earnings 4/ (dollars)
,,,sum,sum,mean,mean,mean
0,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2007,1550291.0,1377965.0,60308.5,54231.5,36294.0
1,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2008,1574340.0,1373823.0,58787.5,54938.5,33614.0
2,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2009,1596169.0,1316341.0,59742.5,55239.5,33045.5
3,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2010,1618043.0,1314438.0,60631.0,56502.5,33518.5
4,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2011,1645464.0,1356683.0,61490.5,58142.5,35332.0
5,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2012,1683085.0,1376394.0,61632.5,59757.5,34865.0
6,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2013,1698143.0,1403913.0,61891.5,59713.0,35041.0
7,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2014,1715253.0,1456760.0,64003.5,61400.5,37745.5
8,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2015,1737670.0,1505143.0,66424.5,63164.5,40238.5
9,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2016,1767514.0,1543906.0,69261.0,64832.5,42156.0
10,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2017,1787412.0,1585198.0,71600.5,66600.5,45025.5
11,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2018,1802092.0,1633296.0,73586.0,68363.5,47118.5
12,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2019,1819277.0,1666611.0,75889.5,70565.5,49574.5
13,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2020,1833790.0,1616284.0,77945.0,76055.0,48032.5
14,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2021,1821762.0,1704794.0,80407.5,80889.0,51805.5
15,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2022,1837454.0,1815770.0,80407.0,84852.5,52391.0
16,"Austin-Round Rock-Georgetown, TX MSA",2007,955399.0,746530.0,52974.0,48614.0,30673.0
17,"Austin-Round Rock-Georgetown, TX MSA",2008,980699.0,767262.0,53012.0,49437.0,30520.0
18,"Austin-Round Rock-Georgetown, TX MSA",2009,1006503.0,760962.0,51075.0,48648.0,28840.0
19,"Austin-Round Rock-Georgetown, TX MSA",2010,1030315.0,771613.0,53932.0,50740.0,30401.0
20,"Austin-Round Rock-Georgetown, TX MSA",2011,1061255.0,796786.0,57505.0,52705.0,33420.0
21,"Austin-Round Rock-Georgetown, TX MSA",2012,1096149.0,826350.0,59025.0,54713.0,35199.0
22,"Austin-Round Rock-Georgetown, TX MSA",2013,1121205.0,866574.0,60747.0,55062.0,36772.0
23,"Austin-Round Rock-Georgetown, TX MSA",2014,1150862.0,904632.0,63306.0,57014.0,38647.0
24,"Austin-Round Rock-Georgetown, TX MSA",2015,1178026.0,948557.0,64069.0,59649.0,39009.0
25,"Austin-Round Rock-Georgetown, TX MSA",2016,1203850.0,989993.0,64567.0,61540.0,39477.0
26,"Austin-Round Rock-Georgetown, TX MSA",2017,1224476.0,1024703.0,69611.0,64234.0,43753.0
27,"Austin-Round Rock-Georgetown, TX MSA",2018,1243324.0,1069083.0,72438.0,67234.0,46922.0
28,"Austin-Round Rock-Georgetown, TX MSA",2019,1269667.0,1098909.0,73993.0,70454.0,48007.0
29,"Austin-Round Rock-Georgetown, TX MSA",2020,1296515.0,1087375.0,76378.0,78056.0,46958.0
30,"Austin-Round Rock-Georgetown, TX MSA",2021,1308544.0,1170075.0,81610.0,85961.0,52888.0
31,"Austin-Round Rock-Georgetown, TX MSA",2022,1326436.0,1269845.0,84265.0,89649.0,56998.0
32,"Baltimore-Columbia-Towson, MD MSA",2007,1470222.0,860665.0,54468.5,50266.5,24631.5
33,"Baltimore-Columbia-Towson, MD MSA",2008,1470351.0,851781.0,56809.5,52320.0,25024.5
34,"Baltimore-Columbia-Towson, MD MSA",2009,1476670.0,832325.0,57210.5,52782.0,24864.0
35,"Baltimore-Columbia-Towson, MD MSA",2010,1488605.0,824440.0,59164.5,53724.0,25084.5
36,"Baltimore-Columbia-Towson, MD MSA",2011,1501271.0,835801.0,60080.5,54935.0,26035.5
37,"Baltimore-Columbia-Towson, MD MSA",2012,1517099.0,846099.0,60885.0,56083.5,26079.5
38,"Baltimore-Columbia-Towson, MD MSA",2013,1530077.0,859687.0,60721.5,56379.0,26233.0
39,"Baltimore-Columbia-Towson, MD MSA",2014,1545993.0,870672.0,62562.5,58048.5,26835.5
40,"Baltimore-Columbia-Towson, MD MSA",2015,1556744.0,881506.0,64175.0,59922.5,27689.5
41,"Baltimore-Columbia-Towson, MD MSA",2016,1558320.0,892572.0,65672.0,60867.0,28332.5
42,"Baltimore-Columbia-Towson, MD MSA",2017,1559685.0,905222.0,67148.0,62589.0,29173.0
43,"Baltimore-Columbia-Towson, MD MSA",2018,1557855.0,921448.0,68182.5,63688.5,30276.0
44,"Baltimore-Columbia-Towson, MD MSA",2019,1554779.0,922066.0,69646.0,65980.0,30810.0
45,"Baltimore-Columbia-Towson, MD MSA",2020,1548429.0,896044.0,71753.0,70401.0,30805.5
46,"Baltimore-Columbia-Towson, MD MSA",2021,1533235.0,919212.0,74256.5,72960.5,32528.5
47,"Baltimore-Columbia-Towson, MD MSA",2022,1516902.0,956022.0,76859.5,76078.0,34436.5
